,images,Text,confidenceOCR
441,images/Cropped Image860.jpg,W,0.7546425337637608
442,images/Cropped Image862.jpg,Maccoa,0.9148227640664403
443,images/Cropped Image863.jpg,NO,0.3952843277914149
444,images/Cropped Image863.jpg,smokinG',0.4903526945039125
445,images/Cropped Image863.jpg,Ino 9413913,0.4288646935730294
446,images/Cropped Image864.jpg,"vd' SmokiNG""",0.31480059348247247
447,images/Cropped Image864.jpg,IMd 9413913,0.572652207444803
448,images/Cropped Image864.jpg,Maccoa,0.9163931058150757
449,images/Cropped Image865.jpg,Maccoa,0.9136929586104897
450,images/Cropped Image866.jpg,Veser 4ighuay,0.10544088137976797
451,images/Cropped Image866.jpg,KESS,0.7944848537445068
452,images/Cropped Image867.jpg,Trafexpress,0.9989662523641711
453,images/Cropped Image867.jpg,Kraftca,0.3096108996988757
454,images/Cropped Image867.jpg,TRANSFENNICA,0.9840279278417122
455,images/Cropped Image868.jpg,GLovI5,0.34751969947617556
